t,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
39,0.13273183,0.0014560892,0.2642116,0.15372889,0.104508445,0.09198306,0.08479596,0.110950164,0.19168429,0.22637954,0.22894853,0.26138404,0.071682364
40,0.56944525,0.002153407,0.4035916,0.30933836,0.5439701,0.4980445,0.51822853,0.52019906,0.53385174,0.55014175,0.52494824,0.5570693,0.22192389
41,0.22867477,0.002737441,0.16976427,0.11433971,0.19612563,0.16351216,0.15199214,0.16172077,0.20170899,0.22312276,0.2187234,0.2395558,0.066415764
42,0.34732884,0.002602664,0.2753872,0.18830748,0.32596925,0.29107112,0.29346296,0.3005419,0.33024204,0.34773347,0.337531,0.3607004,0.13017587
43,0.36645606,0.010137078,0.22672768,0.17009784,0.32884374,0.29223675,0.30125389,0.3075709,0.33860365,0.3614489,0.33498046,0.37690476,0.12464094
44,0.44242954,0.002581225,0.39561844,0.33847228,0.4136544,0.35867515,0.38065553,0.3843186,0.4076504,0.42676425,0.40809542,0.44016737,0.1342901
45,0.5391633,0.0021681406,0.4243694,0.31167382,0.5029142,0.45313895,0.4929811,0.48894516,0.50878954,0.53491867,0.48415318,0.55133593,0.13231404
46,0.6495092,0.095618464,0.3668239,0.28190464,0.6299649,0.5590836,0.60224813,0.62144655,0.6308315,0.6421076,0.6464702,0.6476986,0.44629747
47,0.24723849,0.005113628,0.18092787,0.16282968,0.1894908,0.14528857,0.13717963,0.14939332,0.17552327,0.18822983,0.17203781,0.20204964,0.11404366
48,0.5108493,0.0059797936,0.4242814,0.32189623,0.49359998,0.4410656,0.48458895,0.50192946,0.5192146,0.53555954,0.5201248,0.54770446,0.25852054
49,0.18505578,0.0013797572,0.17221321,0.08941241,0.14243329,0.10964192,0.09109609,0.122649275,0.2050005,0.23799038,0.23804235,0.26961306,0.092115134
